id,Idade,Genero,Faixa_idade,Estado_onde_mora,Regiao_onde_mora,uf_onde_mora,Nivel_de_Ensino,Área_de_Formação,Qual_sua_situação_atual_de_trabalho,Nivel,Faixa_salarial,2021,ano_pesquisa,Cor/raca/etnia,PCD,experiencia_profissional_prejudicada,aspectos_prejudicados,vive_no_brasil,Cargo_Atual,2022,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,2023
qkx4q0ei90wcjxnqkx4q0j3xgf0zn13s,38.0,Masculino,35-39,Ceará (CE),Nordeste,CE,Pós-graduação,Química / Física,Empregado (CLT),,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
zdl2n19yhgpnoaco6kkczdl2nwv9zwrt,39.0,Masculino,35-39,Bahia (BA),Nordeste,BA,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),,de R$ 6.001/mês a R$ 8.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
vsamqp2un3q7us84mgvsams5fulsmcoh,30.0,Masculino,30-34,Santa Catarina (SC),Sul,SC,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
v31ab41botodnsv31zgg4k34zzojy81l,38.0,Feminino,35-39,São Paulo (SP),Sudeste,SP,Pós-graduação,Outras,Empreendedor ou Empregado (CNPJ),,de R$ 12.001/mês a R$ 16.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
ubhu8ntvm4xc0sfkdubhu80e973eek0k,36.0,Masculino,35-39,Santa Catarina (SC),Sul,SC,Pós-graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
isz60pt4c22u98xjzztisz6qzaa0fikw,3.15285372098785e+16,Masculino,55+,São Paulo (SP),Sudeste,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),,de R$ 8.001/mês a R$ 12.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
rcxg4kxm9ow0u54hrcxgxkzcd50ib9dk,24.0,Masculino,22-24,Santa Catarina (SC),Sul,SC,Estudante de Graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),,de R$ 3.001/mês a R$ 4.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
95glgjuiaf07xh95g4qt3ufh62qh0bos,51.0,Masculino,50-54,São Paulo (SP),Sudeste,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),,de R$ 12.001/mês a R$ 16.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
nc3chpdm6n3rtgib20inc3chp9psycoz,39.0,Masculino,35-39,Minas Gerais (MG),Sudeste,MG,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
kw6mzziiifjl1q7nikw628l4at14q8jr,27.0,Masculino,25-29,São Paulo (SP),Sudeste,SP,Pós-graduação,Outras Engenharias,Empregado (CLT),,de R$ 4.001/mês a R$ 6.000/mês,2021.0,2021,,,,,,,2022.0,5421110702464140.0,2.0264803236484e+16,2.91283560132401e+16,2.46414122839279e+16,2023.0
