id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
001b2d1qtli8t9z7oqgdhj001b2d4i0g,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,MG,Sudeste,Doutorado ou Phd,Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
0026aa3fwd78u0026asg7456tfkjg2cs,30,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,ES,Sudeste,Graduação/Bacharelado,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
00r21rb9pusd1b0v7ew00r21rw3dy69w,37,Feminino,Amarela,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês
00urm3jf2cek12w6ygue00urm3jzd17j,22,Masculino,Preta,Não,22-24,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,"Desempregado, buscando recolocação",1,SP,Sudeste,Estudante de Graduação,,,
00v0az4g792svil00vn6y1kfm9hq8vy9,34,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,MG,Sudeste,Doutorado ou Phd,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
015qqbrh4rr015qje9gvkbsb7ti1n5df,30,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,RJ,Sudeste,Estudante de Graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês
01810y9hweneb018to8t1p8ubyn1o04m,24,Masculino,Branca,Não,22-24,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
01k1i8w42ljmgee01k1eay1n1283ot23,35,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Pós-graduação,,,de R$ 20.001/mês a R$ 25.000/mês
01n9nd73iv68k81iefenxv01n9nd7wjt,27,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Trabalho na área Acadêmica/Pesquisador,1,RJ,Sudeste,Graduação/Bacharelado,,,
01v9nqn7mz93ace01v9ig2aswc6oy2zq,28,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,"Desempregado, buscando recolocação",1,SP,Sudeste,Graduação/Bacharelado,,,
01zusm1faol2k2601zlthh05cj7iqyit,25,Masculino,Preta,Sim,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,0.0,1.0,Empregado (CLT),1,SE,Nordeste,Estudante de Graduação,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
02cv39tv75nm2z9zhcv02cv379703hvs,46,Feminino,Parda,Não,45-49,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Desempregado, buscando recolocação",1,PE,Nordeste,Pós-graduação,,,
02yuxvtb6698rqwq8w02yuza594l7cut,32,Feminino,Preta,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empregado (CLT),1,RS,Sul,Pós-graduação,Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês
03hoy11ga4jko92xixsfb03hogk1wpa8,39,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,,,de R$ 16.001/mês a R$ 20.000/mês
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,36,Masculino,Branca,Não,35-39,,,,,,Servidor Público,1,DF,Centro-oeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês
03zphd4wn92u78t7c03zph7kmu1pu8nw,35,Feminino,Branca,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,MG,Sudeste,Mestrado,,,de R$ 8.001/mês a R$ 12.000/mês
04b8mbh28y4r0z04b8f42bs4j4ma44pl,29,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Servidor Público,1,RJ,Sudeste,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
04ellbzcl7lj3va9n1yx04eleu3mlvml,29,Feminino,Prefiro não informar,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Mestrado,Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês
04mb6m64f1b9566fnjwz04mb6m6bmelv,27,Masculino,Parda,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês
04oft971jvyonsl456b704oft97ssj7l,31,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,RJ,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês
04qj1aoh18cgbwi04qj1aohkr325qe6z,35,Masculino,Parda,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,PB,Nordeste,Mestrado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
04qmbrvl35x33l4prch04qmbr7a5ee5j,35,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,29,Masculino,Branca,Não,25-29,,,,,,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Sênior,Acima de R$ 40.001/mês
05csrlllrg5xhyryv7i305csrl8hfybu,44,Feminino,Branca,Não,40-44,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Doutorado ou Phd,,,de R$ 8.001/mês a R$ 12.000/mês
05edmndszxd75nu8o05edmnbiuloulj9,25,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 6.001/mês a R$ 8.000/mês
05na8bynsxjppjlrgsfb405na83mpw9f,36,Masculino,Branca,Não,35-39,,,,,,Empregado (CLT),1,,,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês
06bekvb2fzxi6n0czi06bekvydrj06mi,36,Feminino,Parda,Não,35-39,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,MG,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês
06ytc58mw53h90izzo306ytcpdc16w70,46,Masculino,Branca,Não,45-49,,,,,,Empregado (CLT),1,SC,Sul,Graduação/Bacharelado,Professor/Pesquisador,Pleno,de R$ 8.001/mês a R$ 12.000/mês
06zhqgd6dr4xjy06zhqg21con02zwy42,33,Feminino,Parda,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,SP,Sudeste,Mestrado,Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês
076sddptnza0htgkwxmr1jr076sddptb,30,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Mestrado,Economista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
07ei3nr4jibmbslmgzup07ei3n8u13ka,32,Masculino,Parda,Não,30-34,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Não tenho graduação formal,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de R$ 12.001/mês a R$ 16.000/mês
07podb88144utvmy9lk0x07podb8k8nl,38,Masculino,Preta,Não,35-39,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Não tenho graduação formal,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês
